location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,default_profile,default_profile_image,has_extended_profile,bot
‰÷•ü,Has description,Url,443,2,17,66600,6,FALSE,9584,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,27,1,10,5599,0,FALSE,145,en,TRUE,FALSE,FALSE,1
#botALLY,Has description,No url,191,2,19,47588,0,FALSE,5684,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,1,35,1,50837,54,FALSE,82,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,651,0,36,62820,0,FALSE,19867,en,FALSE,FALSE,FALSE,1
The Coast Where Wizards Chill,Has description,No url,37,45,7,13181,0,FALSE,191,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,331,56,36,43740,23,FALSE,29989,en,TRUE,FALSE,FALSE,1
"London, England",Has description,Url,1327,2,92,62458,0,FALSE,24199,en,TRUE,FALSE,FALSE,1
NULL,No descrition,NULL,0,52,0,21479,0,FALSE,0,en,TRUE,TRUE,NULL,1
NULL,Has description,No url,54,0,5,3180,2,FALSE,1585,en,TRUE,FALSE,FALSE,1
NULL,Has description,Url,4247,2,72,85977,587,FALSE,109325,en,FALSE,FALSE,FALSE,1
NULL,Has description,NULL,0,54,0,42140,7,FALSE,18,en,TRUE,TRUE,FALSE,1
NULL,Has description,Url,163,2,74,27734,64,FALSE,552492,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,32,1,12,14292,0,FALSE,6181,en,TRUE,FALSE,FALSE,1
"Brooklyn, NY",Has description,Url,903,1,50,14880,0,FALSE,3654,en,FALSE,FALSE,FALSE,1
NULL,Has description,Url,108,10,9,81600,10,FALSE,537,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,190,1,23,13454,1,FALSE,4032,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,675,118,66,13719,8,FALSE,15437,en,FALSE,FALSE,FALSE,1
NULL,No descrition,No url,89,1225,0,44040,2,FALSE,2,en,TRUE,FALSE,FALSE,1
the sky and all of space,Has description,Url,1076,0,40,18231,0,FALSE,12674,en,FALSE,FALSE,FALSE,1
Tended to by @dphiffer,Has description,Url,399,679,20,74782,64,FALSE,26073,en,FALSE,FALSE,FALSE,1
 ‰äÇ VlNTAEGE,Has description,Url,394,3537,0,74605,46,FALSE,349,en,FALSE,FALSE,FALSE,1
NULL,No descrition,No url,4,96,0,55567,3,FALSE,0,ar,TRUE,TRUE,FALSE,1
"Virginia, USA",No descrition,NULL,0,140,0,18772,2,FALSE,12,en,TRUE,TRUE,TRUE,1
London,Has description,Url,1334,0,13,35248,7,FALSE,59023,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,36,1,6,28680,0,FALSE,510,en,TRUE,TRUE,FALSE,1
soothing forest,Has description,No url,8,1,1,58620,0,FALSE,29,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,1451,1,44,2340,0,FALSE,15020,en,FALSE,FALSE,FALSE,1
France,Has description,Url,1807,101,258,72780,124,FALSE,125403,en,FALSE,FALSE,FALSE,1
NULL,No descrition,No url,1,63,0,49860,0,FALSE,1,en,TRUE,TRUE,FALSE,1
Snowbird,Has description,Url,82,49,10,65126,0,FALSE,16728,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,2,20,0,18851,66,FALSE,127,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,0,25,0,5309,56,FALSE,73,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,78,1,14,38475,0,FALSE,4438,en,FALSE,FALSE,FALSE,1
"LA, FIRST TIME!",Has description,Url,403,6,16,2063,1,FALSE,12395,en,FALSE,FALSE,FALSE,1
Los Angeles,Has description,Url,7324,456,202,76320,5109,TRUE,3334,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,68,0,15,70483,1,FALSE,25193,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,108,1,20,10600,0,FALSE,19770,en,TRUE,FALSE,FALSE,1
MANLAND,Has description,No url,120,0,22,19563,0,FALSE,5614,en,TRUE,FALSE,FALSE,1
"Sandia, NM, USA",Has description,No url,0,330,0,34800,21,FALSE,29,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,0,22,0,64931,71,FALSE,100,en,TRUE,FALSE,FALSE,1
"New York, NY 10022",Has description,Url,15,19,0,51720,0,FALSE,19,en,FALSE,FALSE,FALSE,1
NULL,Has description,Url,23,0,7,67615,0,FALSE,63,en-gb,FALSE,FALSE,FALSE,1
New York Capital Territory,Has description,Url,127,180,6,60540,76087,FALSE,12702,en,FALSE,FALSE,TRUE,1
NULL,Has description,Url,175986,14914,1829,26280,1,FALSE,18839,en,TRUE,FALSE,FALSE,1
The Internet,Has description,No url,731,1,28,84873,0,FALSE,2576,en,TRUE,FALSE,FALSE,1
NULL,No descrition,No url,182,0,6,67380,0,FALSE,433,en,TRUE,FALSE,FALSE,1
"Boston, MA",Has description,No url,123,0,35,23912,0,FALSE,29410,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,1287,1,116,5494,0,FALSE,62797,en,TRUE,FALSE,FALSE,1
@gyuterte,Has description,No url,110,1797,0,4936,12,FALSE,4,en,TRUE,FALSE,FALSE,1
NULL,Has description,Url,9,0,6,29045,0,FALSE,1412,en,FALSE,FALSE,TRUE,1
NULL,Has description,Url,102437,3,500,41421,0,FALSE,13953,en,FALSE,FALSE,FALSE,1
NULL,No descrition,NULL,4,350,0,75328,4,FALSE,6,en,TRUE,FALSE,NULL,1
NULL,Has description,No url,1,44,0,14357,66,FALSE,78,en,TRUE,FALSE,FALSE,1
"Myrtle Beach, SC",Has description,NULL,281,5,1,10273,1,FALSE,22739,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,104669,5438,979,33665,385,FALSE,7897,en,FALSE,FALSE,FALSE,1
Stratford-upon-Internet,Has description,Url,23472,2,653,4200,120,FALSE,59327,en,TRUE,FALSE,FALSE,1
"Arkham, Massachusetts",Has description,No url,43,1,13,46277,4,FALSE,26955,ja,TRUE,FALSE,FALSE,1
"Brooklyn, NY",Has description,Url,11,74,0,55200,0,FALSE,1,en,TRUE,FALSE,FALSE,1
Las Vegas,Has description,Url,928,0,20,19978,0,FALSE,71773,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,63,2,15,56720,1,FALSE,2672,en,TRUE,FALSE,FALSE,1
Internet,Has description,No url,71,2,14,40456,1,FALSE,644,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,131,2,27,56048,0,FALSE,4499,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,171,4,13,74040,1,FALSE,8808,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,6859,5458,279,71433,73498,FALSE,46537,en,TRUE,FALSE,FALSE,1
NULL,Has description,Url,3730,21,5204,42361,155,FALSE,306026,en,FALSE,FALSE,FALSE,1
"San Lorenzo zona urbana, USA",Has description,No url,4,244,0,62520,10,FALSE,17,en,TRUE,FALSE,FALSE,1
NULL,No descrition,No url,277,4887,5,58380,1,FALSE,41,en,TRUE,FALSE,FALSE,1
inside the internet,Has description,Url,31,23,4,77457,2,FALSE,170,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,1078,0,23,56968,0,FALSE,2,en,FALSE,FALSE,FALSE,1
"Brighton, England",Has description,No url,8,0,1,84300,0,FALSE,123,en-gb,TRUE,FALSE,TRUE,1
"America, USA",Has description,No url,14,3,7,5162,0,FALSE,13752,en,TRUE,FALSE,FALSE,1
____ __,Has description,No url,9978,10829,9,25740,681,FALSE,862,en,TRUE,FALSE,TRUE,1
NULL,Has description,No url,0,32,0,83561,69,FALSE,93,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,204,1,34,9011,0,FALSE,7491,en,FALSE,FALSE,FALSE,1
NULL,Has description,Url,20,9,2,62340,0,FALSE,2311,en,TRUE,FALSE,FALSE,1
NULL,Has description,Url,109,153,0,37260,25,FALSE,24,en,TRUE,FALSE,TRUE,1
NULL,No descrition,Url,539,10,36,40183,5,FALSE,212479,en,TRUE,FALSE,FALSE,1
NULL,No descrition,Url,227,292,0,83880,0,FALSE,12,pt,TRUE,TRUE,FALSE,1
Lake Tahoe,Has description,No url,105,4,4,73875,0,FALSE,1571,en,FALSE,FALSE,FALSE,1
NULL,Has description,Url,1022,0,96,84060,0,FALSE,403392,en,FALSE,FALSE,FALSE,1
Chickballapur,Has description,No url,33,1526,0,47074,1,FALSE,1,en,TRUE,FALSE,FALSE,1
NULL,No descrition,NULL,4,19,0,5693,0,FALSE,0,en,TRUE,TRUE,NULL,1
"Victoria city, MN, USA",Has description,No url,1,342,0,81840,41,FALSE,43,en,TRUE,FALSE,FALSE,1
"Venetian village, IL, USA",Has description,No url,1,420,0,83700,88,FALSE,80,en,TRUE,FALSE,FALSE,1
"Massapequa, NY, USA",Has description,No url,0,346,0,65340,14,FALSE,28,en,TRUE,FALSE,FALSE,1
hakuland,Has description,Url,23,0,10,1297,0,FALSE,376,en,FALSE,FALSE,FALSE,1
"Poetry Department, Nereid",Has description,Url,254,16,31,55803,43,FALSE,13695,en,FALSE,FALSE,FALSE,1
new york,Has description,No url,20,9,4,75572,0,FALSE,445,en,TRUE,FALSE,FALSE,1
NULL,Has description,Url,516,0,27,67643,0,FALSE,4145,en,TRUE,FALSE,FALSE,1
"Lake Lucerne, FL, USA",Has description,No url,5,464,0,17100,78,FALSE,88,en,TRUE,FALSE,FALSE,1
United States,Has description,Url,447990,487927,4233,68040,4055,FALSE,107503,en,FALSE,FALSE,FALSE,1
"Paoli, PA, USA",Has description,No url,1,338,0,20580,26,FALSE,30,en,TRUE,FALSE,FALSE,1
NULL,No descrition,Url,255,1,28,71040,0,FALSE,12821,en,TRUE,FALSE,FALSE,1
"Worthington city, OH, USA",Has description,No url,16,1862,0,85560,285,FALSE,392,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,268,99,56,77273,0,FALSE,5099,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,742,38,27,70158,3,FALSE,367778,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,61,31,14,85001,0,FALSE,627,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,105,1,13,38869,9,FALSE,570,en,FALSE,FALSE,TRUE,1
Purification in Progress.,Has description,No url,26,35,7,32230,9,FALSE,9117,en,FALSE,FALSE,FALSE,1
BK ‰Û¢ NY,Has description,No url,13,1,2,52662,0,FALSE,1035,en,FALSE,FALSE,FALSE,1
NULL,Has description,Url,7724,22,186,45540,9,FALSE,16682,en,TRUE,FALSE,FALSE,1
Namespace,Has description,No url,124,158,10,25506,55,FALSE,3597,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,142,14,12,56162,0,FALSE,26,en-gb,TRUE,FALSE,FALSE,1
NULL,Has description,Url,434,0,41,56480,0,FALSE,3033,en,FALSE,FALSE,FALSE,1
"Trophy Club town, TX, USA",Has description,No url,9,462,0,81960,84,FALSE,72,en,TRUE,FALSE,FALSE,1
The IFDB (ifdb.tads.org),Has description,Url,44,0,5,17760,5,FALSE,1220,en,TRUE,TRUE,FALSE,1
NULL,No descrition,No url,505,3673,0,11433,745,FALSE,595,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,67078,0,940,26340,0,FALSE,12064,en,FALSE,FALSE,FALSE,1
Singapore,Has description,Url,19048,2,135,61274,7,FALSE,220592,en,TRUE,FALSE,FALSE,1
"Taiwan(Sanchong,Taipei)",Has description,No url,69508,70633,441,86340,109,FALSE,423314,en,FALSE,FALSE,TRUE,1
NULL,No descrition,NULL,0,100,0,4035,0,FALSE,0,en,TRUE,TRUE,NULL,1
NULL,Has description,Url,30,0,11,16124,0,FALSE,1560,en,TRUE,FALSE,FALSE,1
NULL,No descrition,No url,1,116,0,82260,0,FALSE,1,en,TRUE,TRUE,FALSE,1
NULL,Has description,No url,0,34,0,39545,37,FALSE,61,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,261,1,46,79281,1,FALSE,4776,en,FALSE,FALSE,FALSE,1
Search box,Has description,No url,1058,1,83,12240,0,FALSE,7678,en,TRUE,FALSE,FALSE,1
"San Francisco, CA",Has description,Url,15,1,7,53954,2,FALSE,75,en,TRUE,FALSE,FALSE,1
"Austin, TX",Has description,No url,14,0,7,63946,2,FALSE,3422,en,FALSE,FALSE,FALSE,1
"Illinois, USA",No descrition,NULL,2,106,0,79956,0,FALSE,1,en,TRUE,TRUE,NULL,1
NULL,Has description,Url,344,24,8,51300,1,FALSE,161,en,TRUE,FALSE,FALSE,1
USA,Has description,No url,78,221,0,25860,261,FALSE,1953,en,FALSE,FALSE,FALSE,1
NULL,No descrition,No url,21,19,3,80700,0,FALSE,1160,en,TRUE,FALSE,FALSE,1
NULL,No descrition,No url,12,33,0,24170,47,FALSE,65,en,TRUE,FALSE,FALSE,1
"UCD, Dublin, Ireland",Has description,Url,669,7,162,49338,9396,FALSE,21522,en,FALSE,FALSE,FALSE,1
NULL,No descrition,NULL,0,34,0,4126,0,FALSE,0,en,TRUE,TRUE,NULL,1
NULL,Has description,No url,324,0,23,52415,0,FALSE,6664,en-gb,FALSE,FALSE,FALSE,1
NULL,Has description,No url,283,443,1,79306,4021,FALSE,2864,en,TRUE,TRUE,FALSE,1
TV Land,Has description,Url,95,3,0,57177,0,FALSE,2464,en,FALSE,FALSE,FALSE,1
NULL,Has description,Url,571,15,19,52260,1,FALSE,1181,en,TRUE,FALSE,FALSE,1
"Blountville, TN, USA",Has description,No url,20,1827,0,60660,312,FALSE,387,en,FALSE,FALSE,FALSE,1
"Hartselle city, AL, USA",Has description,No url,3,523,0,13140,87,FALSE,113,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,16,25,3,64260,1,FALSE,150,en,FALSE,FALSE,TRUE,1
NULL,No descrition,No url,782,0,14,57480,0,FALSE,276,en,TRUE,FALSE,FALSE,1
NULL,Has description,Url,6,0,4,78527,0,FALSE,241,en,FALSE,FALSE,TRUE,1
NULL,Has description,No url,187,1,36,22250,1,FALSE,10881,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,659,806,19,12058,1,FALSE,9565,en,TRUE,FALSE,FALSE,1
NULL,No descrition,No url,9,89,0,8280,0,FALSE,4,en,TRUE,TRUE,FALSE,1
NULL,Has description,No url,40,0,14,57672,0,FALSE,884,en,TRUE,FALSE,FALSE,1
"St. Louis city, MI, USA",Has description,No url,2,350,0,37260,32,FALSE,34,en,TRUE,FALSE,FALSE,1
"East Moline, United States",Has description,No url,1,365,0,77160,29,FALSE,25,en,TRUE,FALSE,FALSE,1
2014,Has description,No url,160,3,17,77713,1,FALSE,4080,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,972,43,24,58740,253,FALSE,7460,en,FALSE,FALSE,FALSE,1
Sports Hell,Has description,Url,34,22,9,11505,0,FALSE,19078,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,176,5,16,61920,0,FALSE,5685,en,TRUE,FALSE,FALSE,1
Rochdale,Has description,Url,156,1,19,43466,0,FALSE,22280,en-gb,FALSE,FALSE,FALSE,1
NULL,Has description,No url,736,3482,4,57180,22,FALSE,681,en,TRUE,FALSE,FALSE,1
"Pinckney village, MI, USA",Has description,No url,2,323,0,37080,40,FALSE,34,en,TRUE,FALSE,FALSE,1
NULL,No descrition,No url,76,0,4,63540,0,FALSE,183,en,TRUE,FALSE,FALSE,1
"London, England",Has description,Url,970,1642,15,4322,145,FALSE,976,en,FALSE,FALSE,FALSE,1
NULL,Has description,Url,32,0,10,44067,0,FALSE,1038,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,762,317,29,14582,293,FALSE,40206,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,231,0,15,71234,0,FALSE,622,en,TRUE,FALSE,FALSE,1
"Kinston, United States",Has description,No url,7,664,1,14520,157,FALSE,187,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,531,1,44,56760,0,FALSE,25992,en,TRUE,FALSE,FALSE,1
NULL,No descrition,No url,23,0,1,66617,2,FALSE,99,en,TRUE,FALSE,FALSE,1
NULL,No descrition,No url,3,49,0,53280,4,FALSE,1,en,TRUE,TRUE,FALSE,1
NULL,Has description,No url,139,7,6,41669,3,FALSE,497,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,66,601,2,64141,25,FALSE,1697,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,693,386,14,50580,18,FALSE,3271,en,TRUE,FALSE,FALSE,1
NULL,No descrition,NULL,3,57,0,84568,0,FALSE,1,en,TRUE,FALSE,FALSE,1
NULL,No descrition,NULL,0,60,0,4201,0,FALSE,0,en,TRUE,TRUE,NULL,1
The Internets,Has description,Url,55,1,8,67020,0,FALSE,1841755,en,TRUE,FALSE,FALSE,1
NULL,No descrition,No url,64,32,8,15933,2,FALSE,4269,en,TRUE,FALSE,FALSE,1
Satire,No descrition,No url,102,2,3,57187,0,FALSE,51833,de,TRUE,FALSE,FALSE,1
"Renovo borough, PA, USA",Has description,No url,0,290,0,2400,30,FALSE,35,en,TRUE,FALSE,FALSE,1
"England, United Kingdom",Has description,Url,1214,2573,30,37920,967,FALSE,415,en-gb,FALSE,FALSE,FALSE,1
NULL,Has description,Url,18,3,4,44340,0,FALSE,1817,en,TRUE,FALSE,FALSE,1
"Los Angeles, CA",Has description,Url,255,5,8,6341,0,FALSE,288,en,FALSE,FALSE,FALSE,1
NULL,Has description,Url,72,0,20,61749,0,FALSE,2233,en,TRUE,FALSE,FALSE,1
"Bletchley Park,Buckinghamshire",Has description,No url,253,57,18,28942,9,FALSE,36435,en,TRUE,FALSE,FALSE,1
"Elloree town, SC, USA",Has description,No url,0,346,0,54360,30,FALSE,39,en,TRUE,FALSE,FALSE,1
Underground,Has description,No url,244,0,21,50100,0,FALSE,14990,en,TRUE,FALSE,FALSE,1
"London, England",Has description,Url,20,1,6,19183,0,FALSE,1578,en,FALSE,FALSE,FALSE,1
"Bronx, NY",No descrition,No url,0,68,0,82260,0,FALSE,1,en,TRUE,FALSE,TRUE,1
CLUB TWITTER THE PARTY IS HERE,Has description,Url,1929,2753,28,2747,1843,FALSE,10337,en,FALSE,FALSE,FALSE,1
University of Wyoming,Has description,Url,660,0,23,19680,0,FALSE,4773,en,TRUE,FALSE,FALSE,1
NULL,Has description,Url,358,1,15,48898,1,FALSE,42988,en,TRUE,FALSE,FALSE,1
"McMinnville, United States",Has description,No url,1,259,0,35580,14,FALSE,33,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,25,897,0,85155,38,FALSE,20,en,TRUE,TRUE,FALSE,1
NULL,No descrition,NULL,2,97,0,82646,0,FALSE,0,en,TRUE,TRUE,FALSE,1
NULL,Has description,Url,1056,1576,76,54151,55901,FALSE,87824,en,TRUE,FALSE,FALSE,1
NULL,Has description,Url,17504,0,62,82415,0,FALSE,27782,en,FALSE,FALSE,FALSE,1
"Robbinsville town, NC, USA",Has description,No url,12,2034,0,45360,333,FALSE,476,en,FALSE,FALSE,FALSE,1
Vineland,Has description,No url,68,1,15,77500,1,FALSE,401,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,12,0,6,52592,0,FALSE,156,en,TRUE,FALSE,FALSE,1
Route 201,Has description,Url,6027,0,36,11034,2,FALSE,116980,en,FALSE,FALSE,FALSE,1
butts,Has description,Url,3947,4728,94,14575,70947,FALSE,91770,en,FALSE,FALSE,FALSE,1
"Andrews town, IN, USA",Has description,No url,25,1935,0,67980,267,FALSE,368,en,FALSE,FALSE,FALSE,1
"Stanleytown, VA, USA",Has description,No url,3,519,0,4080,97,FALSE,107,en,TRUE,FALSE,FALSE,1
NULL,No descrition,No url,3,6,1,73500,16,FALSE,17,en,TRUE,TRUE,FALSE,1
NULL,Has description,No url,560,0,17,57360,0,FALSE,17873,en-gb,FALSE,FALSE,FALSE,1
NULL,Has description,No url,0,30,0,12831,39,FALSE,60,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,12,1,2,44580,0,FALSE,692,en,TRUE,FALSE,FALSE,1
"Society Hill, NJ, USA",Has description,No url,4,259,0,32220,12,FALSE,12,en,TRUE,FALSE,FALSE,1
NULL,No descrition,NULL,0,100,0,3898,0,FALSE,0,en,TRUE,TRUE,NULL,1
NULL,Has description,No url,17,500,0,47248,1,FALSE,4,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,49,1537,0,61838,0,FALSE,1,en,TRUE,FALSE,FALSE,1
Libraries Everywhere,Has description,Url,638,60,0,12648,1,FALSE,4647,en,TRUE,FALSE,FALSE,1
NULL,Has description,Url,21172,20058,162,83911,0,FALSE,80502,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,547,650,15,43532,1,FALSE,6857,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,0,34,0,32099,55,FALSE,71,en,TRUE,FALSE,FALSE,1
the seven seas,Has description,No url,116,1,14,57360,1,FALSE,1031,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,194,3,18,39360,0,FALSE,5652,en,TRUE,FALSE,FALSE,1
The Uncanny Valley,Has description,No url,12368,0,265,78329,34,FALSE,587,en,FALSE,FALSE,FALSE,1
TV Land,Has description,No url,2682,403,180,6979,6309,FALSE,72033,en,TRUE,FALSE,TRUE,1
NULL,Has description,No url,176,2,19,20580,0,FALSE,23319,en,TRUE,TRUE,FALSE,1
Dresden,Has description,No url,160,12,24,76841,0,FALSE,14279,en,TRUE,FALSE,FALSE,1
NULL,Has description,Url,18,0,9,74158,0,FALSE,1590,en,FALSE,FALSE,TRUE,1
NULL,Has description,No url,35,1,9,41630,0,FALSE,4402,en,TRUE,FALSE,FALSE,1
"Braxton village, MS, USA",Has description,No url,5,714,0,66780,124,FALSE,189,en,TRUE,FALSE,FALSE,1
TO THE MOON!,Has description,No url,1829,8,51,24542,62,FALSE,27851,en,TRUE,FALSE,FALSE,1
"Glenview village, IL, USA",Has description,No url,1,262,0,35400,25,FALSE,28,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,0,26,0,10475,39,FALSE,57,en,TRUE,FALSE,FALSE,1
anywhere and everywhere,Has description,Url,152,0,85,80440,0,FALSE,3301,en,TRUE,FALSE,FALSE,1
"Norwich city, NY, USA",Has description,No url,24,2000,0,39660,273,FALSE,315,en,FALSE,FALSE,FALSE,1
NULL,No descrition,No url,162,0,14,74760,0,FALSE,20469,en,TRUE,FALSE,FALSE,1
A:\,Has description,Url,62,0,13,68108,0,FALSE,166,en,TRUE,FALSE,FALSE,1
The back of ur blank check,Has description,No url,107,334,21,13281,19,FALSE,5394,en,TRUE,FALSE,FALSE,1
"Early city, IA, USA",Has description,No url,0,231,0,58800,17,FALSE,20,en,TRUE,FALSE,FALSE,1
NULL,Has description,Url,509,35,33,46260,0,FALSE,10551,en,FALSE,FALSE,FALSE,1
"Boulder, CO",Has description,No url,288,1,16,64920,0,FALSE,3427,en,TRUE,FALSE,FALSE,1
World,Has description,Url,117,353,10,49188,7,FALSE,2853,en,FALSE,FALSE,FALSE,1
chutes and shells,Has description,Url,198,2,20,55298,1,FALSE,11675,en,FALSE,FALSE,FALSE,1
"New Jersey, USA",No descrition,NULL,2,12,0,76909,202,FALSE,0,en,TRUE,TRUE,NULL,1
NULL,Has description,No url,873,8,4,64928,0,FALSE,20734,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,99,0,24,78414,0,FALSE,75,en,FALSE,FALSE,FALSE,1
NULL,Has description,Url,134,0,17,44708,0,FALSE,7597,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,15,1,5,53340,0,FALSE,5017,it,TRUE,FALSE,FALSE,1
"Brier, WA",Has description,No url,4,47,0,80940,0,FALSE,1,en,FALSE,FALSE,FALSE,1
Everywhere,Has description,No url,145,1,19,2182,0,FALSE,6758,en,TRUE,FALSE,FALSE,1
"Odin village, IL, USA",Has description,No url,19,1952,2,79860,290,FALSE,420,en,FALSE,FALSE,FALSE,1
"West Bend, United States",Has description,No url,1,236,0,15840,25,FALSE,24,en,TRUE,FALSE,FALSE,1
NULL,Has description,Url,41,1,17,51545,0,FALSE,3048,en,FALSE,FALSE,FALSE,1
NULL,No descrition,No url,1,80,0,82740,0,FALSE,1,en,TRUE,FALSE,TRUE,1
NULL,Has description,Url,1229,83,49,74123,21,FALSE,614,en,FALSE,FALSE,FALSE,1
"Portola Hills, CA, USA",Has description,No url,1,341,0,70560,33,FALSE,42,en,TRUE,FALSE,FALSE,1
United States,Has description,No url,167,5,2,66358,0,FALSE,607,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,1129,7,2,81331,0,FALSE,23557,en,FALSE,FALSE,FALSE,1
NULL,No descrition,No url,0,22,0,80460,0,FALSE,1,en,TRUE,TRUE,FALSE,1
NULL,No descrition,No url,3,0,3,83879,0,FALSE,1050,en,TRUE,FALSE,FALSE,1
robot kitchen,Has description,Url,505,13,49,85336,0,FALSE,5109,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,15,0,11,52761,0,FALSE,31365,en-gb,TRUE,FALSE,FALSE,1
Australah,Has description,Url,16,1,4,20700,0,FALSE,1832,en,FALSE,FALSE,FALSE,1
vancouver,No descrition,No url,41,394,0,70620,3,FALSE,4,en,TRUE,FALSE,TRUE,1
Moebius,Has description,Url,549,370,12,74268,12,FALSE,4658,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,0,60,0,13662,0,FALSE,10,en,TRUE,FALSE,FALSE,1
